Round,LEACH_Alive,LEACH_Energy,PEGASIS_Alive,PEGASIS_Energy,HYBRID_Alive,HYBRID_Energy
1,50,0.4652451043763595,50,0.46616596237844293,50,0.4679567312537019
2,50,0.46289663033318823,50,0.46407294804408783,50,0.46776289368391516
3,50,0.45994603493466374,50,0.4620996481581283,50,0.46748915602041785
4,50,0.4552778729243503,50,0.4600711672199143,50,0.4672199571524815
5,50,0.4532051412745256,50,0.45806879374268433,50,0.4668624146391968
6,50,0.4499383603509026,50,0.4564216849277877,50,0.46659055212456124
7,50,0.4482288566877042,50,0.45479719083951603,50,0.46631312096209326
8,50,0.4460943165128844,50,0.4531217465722445,50,0.46593068068839844
9,50,0.44216530765102613,50,0.4513404715489102,50,0.46565030682979464
10,50,0.4400192241966121,50,0.44981202189969915,50,0.46480549791216447
11,50,0.43449742404933334,50,0.4483087811670244,50,0.4644819238197006
12,50,0.4297002699242431,50,0.4469310587491262,50,0.46423034074600156
13,50,0.4267878608140893,50,0.4455837454591471,50,0.46390848478664537
14,50,0.4249516163649812,50,0.44435595802070466,50,0.46362214433916393
15,50,0.40383913946927646,50,0.44314789718732106,50,0.46332381520552884
16,50,0.40160860510075735,50,0.4419760552255178,50,0.4630374747580477
17,50,0.39671911132808974,50,0.4407895187468883,50,0.4627669086953382
18,50,0.375606634432385,50,0.43966193482388377,50,0.46186940737213417
19,50,0.37299948590426985,50,0.4383323010137306,50,0.4615476610915944
20,50,0.3706732637767926,50,0.43690450663846714,50,0.4612556248299835
21,50,0.36650176942575025,50,0.4352838284513393,50,0.46088265090904895
22,50,0.36376813789789386,50,0.43365115633625606,50,0.4604919410220537
23,50,0.3607863166079329,50,0.4318331995037517,50,0.459034026520118
24,50,0.3588029606873156,50,0.4297664110754418,50,0.45875677014053723
25,50,0.35331486779054105,50,0.42773292753988096,50,0.4584530910328699
26,50,0.3503516515077801,50,0.4263486517858536,50,0.45813598472213535
27,50,0.3475719018453974,50,0.42495770859073295,50,0.4578632730932011
28,50,0.3441519609127704,50,0.42359462443497703,50,0.45758375942094703
29,50,0.34210184238801244,50,0.42228154117135347,50,0.4562418963858055
30,50,0.3396774975016581,50,0.42108881826341993,50,0.45597368903931146
31,50,0.3376338092052484,50,0.4199228776934005,50,0.45566528965322817
32,50,0.33556408894625794,50,0.41874940345174044,50,0.45482178435480963
33,50,0.3323567222748,50,0.4175786839515645,50,0.4545133849687263
34,50,0.32806665523346257,50,0.41638823108494455,50,0.4542265066287483
35,50,0.32570967197216644,50,0.4151625795356516,50,0.4530815116325249
36,50,0.32376368588078536,50,0.41385655589423415,50,0.4528086203513873
37,50,0.3206454592750655,50,0.4124737641129705,50,0.45248849384406853
38,50,0.3162196470446773,50,0.41100427462773753,50,0.4522212102145195
39,50,0.3128106999609231,50,0.4094060305069657,50,0.4519539265849703
40,50,0.3106865759503862,50,0.408258562529003,50,0.45169017243538806
41,50,0.30793290714411653,50,0.40715618827051436,50,0.4514260676859723
42,50,0.3035818903822186,50,0.406079800473726,50,0.4511028966637925
43,50,0.3001503380866433,50,0.40498722073400745,50,0.45084548905464716
44,50,0.29733451735810673,50,0.4038689925625347,50,0.4497245726251281
45,50,0.2946782788636312,50,0.40278798458444176,50,0.44935159870419383
46,50,0.2902800678799691,50,0.40175952941519577,50,0.4475855243172792
47,50,0.2878419613413903,50,0.40073616254775574,50,0.44730261311307346
48,50,0.2839526316331057,50,0.39970697316985776,50,0.44703494851655806
49,50,0.2817220972645866,50,0.3986344777107259,50,0.44680834165860117
50,50,0.2784713984536783,50,0.39752926156110846,50,0.44653276682399523
51,49,0.2786110136559255,50,0.39543456379243197,50,0.4462694090180209
52,49,0.27492472440042626,50,0.3933415494580766,50,0.44594191373370756
53,49,0.27077797923655006,50,0.39136824957211724,50,0.44563833619314097
54,49,0.2641966040865674,50,0.389339768633903,50,0.4452947638398226
55,49,0.26222949636926746,50,0.3873373951566731,50,0.4450122037625757
56,46,0.25881748518823366,50,0.38569028634177627,50,0.4446562350670154
57,46,0.25596263508854517,50,0.38406579225350496,50,0.4433832668315909
58,46,0.2525628916783898,50,0.3823903479862332,50,0.4430054871764843
59,46,0.2501808424251257,50,0.38060907296289914,50,0.442684661353254
60,46,0.24661838675150083,50,0.37908062331368797,50,0.44202984253419264
61,46,0.2429345065542177,50,0.37757738258101337,50,0.4417039570420183
62,46,0.2401454496118915,50,0.37619966016311507,50,0.4413546276749304
63,45,0.24308010565826743,50,0.37485234687313607,50,0.4411305862543447
64,45,0.24084359910751985,50,0.3736245594346934,50,0.4407756557228623
65,45,0.23606680094286542,50,0.37241649860130993,50,0.4404476007030072
66,45,0.2332281855970428,50,0.3712446566395067,50,0.44009267017152476
67,44,0.23618312011474396,50,0.37005812016087725,50,0.4397683871260517
68,43,0.23906222511980887,50,0.3689305362378723,50,0.4393924224002131
69,43,0.23641662102889632,50,0.3676009024277196,50,0.4390637768007027
70,43,0.23262655612369262,50,0.366173108052456,50,0.4387351312011926
71,43,0.22959771430314432,50,0.36455242986532815,50,0.43834442131419715
72,43,0.2266876505394877,50,0.362919757750245,50,0.4365815374568979
73,43,0.22457628197817467,50,0.3611018009177404,50,0.43635493059894104
74,43,0.22190220682457046,50,0.3590350124894303,50,0.4345888562120263
75,43,0.2199069441834979,50,0.35700152895386983,50,0.43431328137742
76,42,0.2223593225346115,50,0.3556172531998424,50,0.43404992357144573
77,42,0.22039661063931296,50,0.3542263100047218,50,0.4337263110852431
78,42,0.21648243263362202,50,0.3528632258489662,50,0.4334136831381713
79,42,0.214550786715792,50,0.3515501425853422,50,0.4325283744991771
80,42,0.21230289482133516,50,0.35035741967740863,50,0.43225544654995873
81,41,0.2146745288795307,50,0.34919147910738924,50,0.4319825186007402
82,41,0.21184374036670994,50,0.34801800486572915,50,0.4316577652107631
83,40,0.21535892024760983,50,0.3468472853655533,50,0.43140023865516186
84,40,0.21252165618820418,50,0.3456568324989334,50,0.4310794128319317
85,40,0.2092602797794405,50,0.34443118094964054,50,0.4306177907614679
86,40,0.20527399068289337,50,0.34312515730822296,50,0.430242546027612
87,40,0.20313004411925778,50,0.34174236552695936,50,0.42941748021795656
88,40,0.20134477536175682,50,0.34027287604172635,50,0.42909833032850336
89,40,0.19811653580021588,50,0.3386746319209546,50,0.4281283448716943
90,40,0.19515992573112084,50,0.33752716394299176,50,0.4271299930132836
91,40,0.19286027371644376,50,0.33642478968450334,50,0.42627975739932217
92,39,0.19497054599226032,50,0.3353484018877149,50,0.42533171924121843
93,39,0.19138075113347616,50,0.33425582214799626,50,0.4250331640714108
94,39,0.18800056448539434,50,0.33313759397652354,50,0.42469821508391137
95,39,0.18529705601873006,50,0.33205658599843074,50,0.4243987929447854
96,38,0.18614521257089753,50,0.3310281308291846,50,0.42416248240489635
97,38,0.1842598659496974,50,0.3300047639617447,50,0.4238965113679194
98,38,0.1807416669089614,50,0.32897557458384674,50,0.4236153799472258
99,36,0.17746567545175068,50,0.3279030791247148,50,0.4218524960899264
100,33,0.18059900116019492,50,0.3267978629750973,50,0.4215843040352695
101,33,0.17879504442171174,50,0.3247031652064207,50,0.42132094622929517
102,33,0.17644128969970707,50,0.3226101508720655,50,0.42106239437055115
103,33,0.174054737980276,50,0.320636850986106,50,0.420777747214019
104,33,0.17163046693694098,50,0.318608370047892,50,0.42050521721955225
105,33,0.16809545071340926,50,0.3166059965706619,50,0.42023268722508544
106,32,0.17184140588496388,50,0.3149588877557653,50,0.4199414195594427
